LECROYWR64MXi,50182,Histogram
Segments,1,SegmentSize,500
Segment,TrigTime,TimeSinceSegment1
#1,22-Nov-2012 14:34:53,0                 
Time,Ampl
0,0
2e-007,0
4e-007,0
6e-007,0
8e-007,0
1e-006,0
1.2e-006,0
1.4e-006,0
1.6e-006,0
1.8e-006,0
2e-006,0
2.2e-006,0
2.4e-006,0
2.6e-006,0
2.8e-006,0
3e-006,0
3.2e-006,0
3.4e-006,0
3.6e-006,0
3.8e-006,0
4e-006,0
4.2e-006,0
4.4e-006,0
4.6e-006,0
4.8e-006,0
5e-006,0
5.2e-006,0
5.4e-006,0
5.6e-006,0
5.8e-006,0
6e-006,0
6.2e-006,0
6.4e-006,0
6.6e-006,0
6.8e-006,0
7e-006,0
7.2e-006,0
7.4e-006,0
7.6e-006,0
7.8e-006,0
8e-006,0
8.2e-006,0
8.4e-006,0
8.6e-006,0
8.8e-006,0
9e-006,0
9.2e-006,0
9.4e-006,0
9.6e-006,0
9.8e-006,0
1e-005,0
1.02e-005,0
1.04e-005,0
1.06e-005,0
1.08e-005,0
1.1e-005,0
1.12e-005,0
1.14e-005,0
1.16e-005,0
1.18e-005,0
1.2e-005,0
1.22e-005,0
1.24e-005,0
1.26e-005,0
1.28e-005,0
1.3e-005,0
1.32e-005,0
1.34e-005,0
1.36e-005,0
1.38e-005,0
1.4e-005,0
1.42e-005,0
1.44e-005,0
1.46e-005,0
1.48e-005,0
1.5e-005,0
1.52e-005,0
1.54e-005,0
1.56e-005,0
1.58e-005,0
1.6e-005,0
1.62e-005,0
1.64e-005,0
1.66e-005,0
1.68e-005,0
1.7e-005,0
1.72e-005,0
1.74e-005,0
1.76e-005,0
1.78e-005,0
1.8e-005,0
1.82e-005,0
1.84e-005,0
1.86e-005,0
1.88e-005,0
1.9e-005,0
1.92e-005,0
1.94e-005,0
1.96e-005,0
1.98e-005,0
2e-005,0
2.02e-005,0
2.04e-005,0
2.06e-005,0
2.08e-005,0
2.1e-005,0
2.12e-005,0
2.14e-005,0
2.16e-005,0
2.18e-005,0
2.2e-005,0
2.22e-005,0
2.24e-005,0
2.26e-005,0
2.28e-005,0
2.3e-005,0
2.32e-005,0
2.34e-005,0
2.36e-005,0
2.38e-005,0
2.4e-005,0
2.42e-005,0
2.44e-005,0
2.46e-005,0
2.48e-005,0
2.5e-005,0
2.52e-005,0
2.54e-005,0
2.56e-005,0
2.58e-005,0
2.6e-005,0
2.62e-005,0
2.64e-005,0
2.66e-005,0
2.68e-005,0
2.7e-005,0
2.72e-005,0
2.74e-005,0
2.76e-005,0
2.78e-005,0
2.8e-005,0
2.82e-005,0
2.84e-005,0
2.86e-005,0
2.88e-005,0
2.9e-005,0
2.92e-005,0
2.94e-005,0
2.96e-005,0
2.98e-005,0
3e-005,0
3.02e-005,0
3.04e-005,0
3.06e-005,0
3.08e-005,0
3.1e-005,0
3.12e-005,0
3.14e-005,0
3.16e-005,0
3.18e-005,0
3.2e-005,0
3.22e-005,0
3.24e-005,0
3.26e-005,0
3.28e-005,0
3.3e-005,0
3.32e-005,0
3.34e-005,0
3.36e-005,0
3.38e-005,0
3.4e-005,0
3.42e-005,0
3.44e-005,0
3.46e-005,0
3.48e-005,0
3.5e-005,3
3.52e-005,6
3.54e-005,6
3.56e-005,4
3.58e-005,11
3.6e-005,10
3.62e-005,13
3.64e-005,3
3.66e-005,2
3.68e-005,7
3.7e-005,2
3.72e-005,2
3.74e-005,13
3.76e-005,76
3.78e-005,317
3.8e-005,988
3.82e-005,1779
3.84e-005,2119
3.86e-005,1954
3.88e-005,1234
3.9e-005,734
3.92e-005,492
3.94e-005,245
3.96e-005,159
3.98e-005,84
4e-005,63
4.02e-005,60
4.04e-005,75
4.06e-005,37
4.08e-005,33
4.1e-005,22
4.12e-005,26
4.14e-005,13
4.16e-005,10
4.18e-005,13
4.2e-005,21
4.22e-005,18
4.24e-005,22
4.26e-005,21
4.28e-005,7
4.3e-005,8
4.32e-005,4
4.34e-005,1
4.36e-005,9
4.38e-005,2
4.4e-005,0
4.42e-005,1
4.44e-005,0
4.46e-005,0
4.48e-005,0
4.5e-005,0
4.52e-005,0
4.54e-005,0
4.56e-005,0
4.58e-005,0
4.6e-005,0
4.62e-005,0
4.64e-005,2
4.66e-005,4
4.68e-005,10
4.7e-005,15
4.72e-005,18
4.74e-005,16
4.76e-005,17
4.78e-005,10
4.8e-005,18
4.82e-005,17
4.84e-005,14
4.86e-005,30
4.88e-005,26
4.9e-005,26
4.92e-005,20
4.94e-005,14
4.96e-005,10
4.98e-005,6
5e-005,7
5.02e-005,3
5.04e-005,3
5.06e-005,7
5.08e-005,10
5.1e-005,5
5.12e-005,13
5.14e-005,7
5.16e-005,3
5.18e-005,4
5.2e-005,4
5.22e-005,1
5.24e-005,0
5.26e-005,2
5.28e-005,1
5.3e-005,1
5.32e-005,0
5.34e-005,0
5.36e-005,0
5.38e-005,0
5.4e-005,0
5.42e-005,0
5.44e-005,0
5.46e-005,0
5.48e-005,0
5.5e-005,0
5.52e-005,0
5.54e-005,0
5.56e-005,0
5.58e-005,0
5.6e-005,0
5.62e-005,0
5.64e-005,0
5.66e-005,0
5.68e-005,0
5.7e-005,0
5.72e-005,0
5.74e-005,0
5.76e-005,0
5.78e-005,0
5.8e-005,0
5.82e-005,0
5.84e-005,0
5.86e-005,0
5.88e-005,0
5.9e-005,0
5.92e-005,0
5.94e-005,0
5.96e-005,0
5.98e-005,0
6e-005,0
6.02e-005,0
6.04e-005,0
6.06e-005,0
6.08e-005,0
6.1e-005,0
6.12e-005,0
6.14e-005,0
6.16e-005,0
6.18e-005,0
6.2e-005,0
6.22e-005,0
6.24e-005,0
6.26e-005,0
6.28e-005,0
6.3e-005,0
6.32e-005,0
6.34e-005,0
6.36e-005,0
6.38e-005,0
6.4e-005,0
6.42e-005,0
6.44e-005,0
6.46e-005,0
6.48e-005,0
6.5e-005,0
6.52e-005,0
6.54e-005,0
6.56e-005,0
6.58e-005,0
6.6e-005,0
6.62e-005,0
6.64e-005,0
6.66e-005,0
6.68e-005,0
6.7e-005,0
6.72e-005,0
6.74e-005,0
6.76e-005,0
6.78e-005,0
6.8e-005,0
6.82e-005,0
6.84e-005,0
6.86e-005,0
6.88e-005,0
6.9e-005,0
6.92e-005,0
6.94e-005,0
6.96e-005,0
6.98e-005,0
7e-005,0
7.02e-005,0
7.04e-005,0
7.06e-005,0
7.08e-005,0
7.1e-005,0
7.12e-005,0
7.14e-005,0
7.16e-005,0
7.18e-005,0
7.2e-005,0
7.22e-005,0
7.24e-005,0
7.26e-005,0
7.28e-005,0
7.3e-005,0
7.32e-005,0
7.34e-005,0
7.36e-005,0
7.38e-005,0
7.4e-005,0
7.42e-005,0
7.44e-005,0
7.46e-005,0
7.48e-005,0
7.5e-005,0
7.52e-005,0
7.54e-005,0
7.56e-005,0
7.58e-005,0
7.6e-005,0
7.62e-005,0
7.64e-005,0
7.66e-005,0
7.68e-005,0
7.7e-005,0
7.72e-005,0
7.74e-005,0
7.76e-005,0
7.78e-005,0
7.8e-005,0
7.82e-005,0
7.84e-005,0
7.86e-005,0
7.88e-005,0
7.9e-005,0
7.92e-005,0
7.94e-005,0
7.96e-005,0
7.98e-005,0
8e-005,0
8.02e-005,0
8.04e-005,0
8.06e-005,0
8.08e-005,0
8.1e-005,0
8.12e-005,0
8.14e-005,0
8.16e-005,0
8.18e-005,0
8.2e-005,0
8.22e-005,0
8.24e-005,0
8.26e-005,0
8.28e-005,0
8.3e-005,0
8.32e-005,0
8.34e-005,0
8.36e-005,0
8.38e-005,0
8.4e-005,0
8.42e-005,0
8.44e-005,0
8.46e-005,0
8.48e-005,0
8.5e-005,0
8.52e-005,0
8.54e-005,0
8.56e-005,0
8.58e-005,0
8.6e-005,0
8.62e-005,0
8.64e-005,0
8.66e-005,0
8.68e-005,0
8.7e-005,0
8.72e-005,0
8.74e-005,0
8.76e-005,0
8.78e-005,0
8.8e-005,0
8.82e-005,0
8.84e-005,0
8.86e-005,0
8.88e-005,0
8.9e-005,0
8.92e-005,0
8.94e-005,0
8.96e-005,0
8.98e-005,0
9e-005,0
9.02e-005,0
9.04e-005,0
9.06e-005,0
9.08e-005,0
9.1e-005,0
9.12e-005,0
9.14e-005,0
9.16e-005,0
9.18e-005,0
9.2e-005,0
9.22e-005,0
9.24e-005,0
9.26e-005,0
9.28e-005,0
9.3e-005,0
9.32e-005,0
9.34e-005,0
9.36e-005,0
9.38e-005,0
9.4e-005,0
9.42e-005,0
9.44e-005,0
9.46e-005,0
9.48e-005,0
9.5e-005,0
9.52e-005,0
9.54e-005,0
9.56e-005,0
9.58e-005,0
9.6e-005,0
9.62e-005,0
9.64e-005,0
9.66e-005,0
9.68e-005,0
9.7e-005,0
9.72e-005,0
9.74e-005,0
9.76e-005,0
9.78e-005,0
9.8e-005,0
9.82e-005,0
9.84e-005,0
9.86e-005,0
9.88e-005,0
9.9e-005,0
9.92e-005,0
9.94e-005,0
9.96e-005,0
9.98e-005,0
